date,home_time,school_time,travel_time,orthers,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names
17:05:2013,24599.0,50401.0,3599.0,1801.0,0.0,0.0,4,0.0,9000.0,14,"0,Hannaford,0,0,North Main Street,North Main Street,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College"
18:04:2013,1203.0,62929.0,3579.0,0.0,0.0,0.0,3,0.0,6900.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,Life Sciences Greenhouse"
18:05:2013,1200.0,22200.0,65400.0,0.0,0.0,0.0,5,0.0,0.0,14,"Dartmouth College,Sudikoff Hall,Dewey Parking Lot,Bridge Street,North Main Street"
19:04:2013,58800.0,37200.0,23997.0,10800.0,0.0,0.0,4,0.0,9000.0,14,"0,0,Steele Hall,Steele Hall,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,0,0"
19:05:2013,0.0,119400.0,20399.0,57066.0,0.0,0.0,-1,0.0,0.0,14,"North Main Street,Pregnancy Center of the Upper Valley,North Main Street,G Lot Parking,Sudikoff Hall"
20:04:2013,72000.0,0.0,15600.0,0.0,0.0,0.0,5,0.0,0.0,14,"0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0"
21:04:2013,38259.0,0.0,43200.0,0.0,0.0,0.0,-1,0.0,0.0,14,"North Main Street,0,0,0,0,North Main Street"
21:05:2013,0.0,19525.0,43200.0,2400.0,0.0,0.0,1,0.0,6900.0,14,"Hannaford,Hannaford,0,0,Sudikoff Hall"
22:04:2013,9638.0,86419.0,33543.0,0.0,0.0,0.0,0,0.0,10800.0,14,"0,0,North Main Street,0,North Main Street,North Main Street,Dartmouth College,Sudikoff Hall"
22:05:2013,0.0,92970.0,0.0,0.0,0.0,0.0,2,0.0,10800.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:04:2013,0.0,18000.0,0.0,0.0,0.0,0.0,1,0.0,6900.0,14,"Sudikoff Hall,Sudikoff Hall"
23:05:2013,0.0,114005.0,46794.0,0.0,0.0,0.0,3,0.0,6900.0,14,"Steele Hall,Steele Hall,Sudikoff Hall,Dewey Parking Lot,Sudikoff Hall"
24:04:2013,42816.0,43207.0,0.0,2400.0,0.0,0.0,2,0.0,10800.0,14,"0,Sudikoff Hall,Hanover High School,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:05:2013,0.0,0.0,2405.0,0.0,0.0,0.0,4,1.0,9000.0,14,0
25:04:2013,25200.0,3600.0,37579.0,3597.0,0.0,0.0,3,1.0,6900.0,14,"0,0,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,0.0,32893.0,7803.0,0.0,1195.0,42936.0,5,0.0,0.0,14,"Sandri,0,0,Sudikoff Hall,Hanover Veterinary Clinic,0,0"
26:04:2013,15599.0,52800.0,37201.0,0.0,0.0,0.0,4,0.0,9000.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,Dartmouth College,Sudikoff Hall"
26:05:2013,0.0,0.0,85251.0,1797.0,0.0,0.0,-1,0.0,0.0,14,"0,North Main Street"
27:04:2013,59144.0,25200.0,2399.0,0.0,0.0,0.0,5,0.0,0.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0"
27:05:2013,0.0,102601.0,0.0,0.0,0.0,0.0,0,0.0,10800.0,14,Sudikoff Hall
28:04:2013,4640.0,23954.0,40963.0,0.0,0.0,0.0,-1,0.0,0.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street"
28:05:2013,0.0,72960.0,0.0,0.0,0.0,0.0,1,0.0,6900.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:04:2013,4199.0,40198.0,164867.0,0.0,0.0,0.0,0,0.0,10800.0,14,"0,0,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
29:05:2013,0.0,108469.0,0.0,0.0,0.0,0.0,2,0.0,10800.0,14,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Sudikoff Hall"
30:05:2013,10200.0,0.0,0.0,4799.0,0.0,0.0,3,1.0,6900.0,14,"Martha E. Diebold Real Estate,0,0"
