date,home_time,recreational_activities,school_time,working,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
11:05:2013,23398.0,0.0,3600.0,63601.0,0.0,601.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Alpha Theta,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College",
12:04:2013,14400.0,7200.0,2401.0,62400.0,0.0,1200.0,4.0,1.0,6000.0,10.0,"Dana Circle Parking Lot,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Berry Sports Center,Berry Sports Center,Alpha Theta,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Dartmouth College,Wentworth Hall",2.0
12:05:2013,28199.0,0.0,599.0,51602.0,600.0,0.0,-1.0,0.0,0.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Alpha Theta,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Alpha Theta,Dartmouth College,0,0,Wheelock House,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,0,Dartmouth College",
13:04:2013,10787.0,0.0,1209.0,80427.0,0.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta",1.0
13:05:2013,9598.0,6000.0,4800.0,67134.0,600.0,0.0,0.0,1.0,7800.0,10.0,"Simon Pearce,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Alpha Theta,Dartmouth College,Wentworth Hall",
14:04:2013,8379.0,0.0,0.0,79204.0,0.0,0.0,-1.0,0.0,0.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta",1.0
14:05:2013,12001.0,16800.0,0.0,52202.0,0.0,2997.0,1.0,1.0,10500.0,10.0,"Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Mass Parking Lot,Mass Parking Lot,Alpha Theta,Berry Library",
15:04:2013,4800.0,3600.0,4796.0,66929.0,0.0,0.0,0.0,1.0,7800.0,10.0,"Kemeny Hall,Alpha Theta,Alpha Theta,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Wentworth Hall",1.0
15:05:2013,13804.0,9000.0,4800.0,59400.0,0.0,1196.0,2.0,1.0,14400.0,10.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Wentworth Hall",1.0
16:04:2013,7201.0,7200.0,21213.0,55205.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Wentworth Hall,Alpha Theta,Alpha Theta,Dartmouth Hall,Alpha Theta,Berry Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.5
16:05:2013,10801.0,11399.0,0.0,60001.0,0.0,3600.0,3.0,1.0,6900.0,10.0,"Dartmouth College,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,0,Mass Parking Lot,Mass Parking Lot,Alpha Theta,Berry Library",4.0
17:04:2013,15599.0,1200.0,4800.0,60000.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Alpha Theta,Berry Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Alpha Theta,Alpha Theta,Wentworth Hall",1.6666666666666667
17:05:2013,1800.0,11999.0,4799.0,67802.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Dartmouth College,Alpha Theta,Alumni Gymnasium,Alpha Theta,Alpha Theta,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Wentworth Hall",
18:04:2013,15598.0,4797.0,1202.0,63603.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse",2.5
18:05:2013,16202.0,598.0,7800.0,53401.0,10199.0,600.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,63 South Main Street Parking Deck,Coldwell Banker,Consolidated Communications,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall",1.0
19:04:2013,10800.0,1200.0,4800.0,70800.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Dartmouth College,Alpha Theta,Berry Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Wentworth Hall",
19:05:2013,25605.0,0.0,0.0,57657.0,0.0,0.0,-1.0,0.0,0.0,10.0,"Alpha Theta,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
20:04:2013,170398.0,0.0,1202.0,15600.0,0.0,0.0,5.0,0.0,0.0,10.0,"Dartmouth Hall,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College",2.5
20:05:2013,13800.0,12600.0,0.0,66001.0,0.0,0.0,0.0,1.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Berry Library,Dartmouth College,Dartmouth College",
21:05:2013,66259.0,13800.0,1210.0,600.0,0.0,0.0,1.0,1.0,10500.0,10.0,"Dartmouth College,Alpha Theta,Dartmouth College,Sudikoff Hall,Dartmouth College,Berry Library,Berry Library",
22:04:2013,9597.0,8400.0,8051.0,49200.0,0.0,0.0,0.0,0.0,7800.0,10.0,"Dartmouth College,Dartmouth College,Berry Library,Berry Library,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall",4.0
22:05:2013,10200.0,600.0,3600.0,71400.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Alpha Theta,Berry Library,Dartmouth College,Dartmouth Hall",
23:04:2013,8396.0,1200.0,14400.0,68330.0,0.0,0.0,1.0,0.0,10500.0,10.0,"Alpha Theta,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Alpha Theta,Berry Library,Alpha Theta",2.1666666666666665
23:05:2013,4798.0,9602.0,600.0,71400.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Alpha Theta",4.0
24:04:2013,7140.0,26578.0,0.0,45555.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Alpha Theta,Berry Library,Berry Library",2.0
24:05:2013,369876.0,1800.0,0.0,4200.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Dartmouth College",
25:04:2013,5986.0,0.0,9679.0,68302.0,0.0,0.0,3.0,0.0,6900.0,10.0,"Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,0",3.0
26:04:2013,62285.0,3580.0,8400.0,13160.0,0.0,0.0,4.0,0.0,6000.0,10.0,"Alpha Theta,Berry Library,Berry Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,Dartmouth Hall",1.0
27:03:2013,1199.0,3599.0,7175.0,3625.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Dartmouth College,Wentworth Hall",
27:04:2013,22808.0,2305.0,9633.0,56453.0,0.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,0",3.0
28:03:2013,5998.0,9599.0,3602.0,66001.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Wentworth Hall,Dartmouth College,Dartmouth College,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Berry Library,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",2.0
28:04:2013,5929.0,0.0,20383.0,59340.0,7935.0,1213.0,-1.0,0.0,0.0,10.0,"Alpha Theta,Consolidated Communications,Dartmouth College,Dartmouth College,Alpha Theta,Maynard Parking Lot,0,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta",
28:05:2013,9000.0,3600.0,5896.0,36000.0,0.0,0.0,1.0,1.0,10500.0,10.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College",
29:03:2013,9600.0,13198.0,2400.0,62402.0,0.0,0.0,4.0,1.0,6000.0,10.0,"Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Leverone Field House,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library,Dartmouth College,Berry Library,Berry Library,Wentworth Hall",
29:04:2013,14445.0,4800.0,14417.0,39538.0,0.0,0.0,0.0,0.0,7800.0,10.0,"Sigma Delta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,0,Alpha Theta,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",2.0
29:05:2013,43798.0,12600.0,20999.0,18603.0,0.0,0.0,2.0,0.0,14400.0,10.0,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Life Sciences Greenhouse,Alpha Theta,Berry Library",
30:03:2013,8399.0,0.0,1200.0,232391.0,3598.0,0.0,5.0,0.0,0.0,10.0,"Wentworth Hall,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,0,Dartmouth College,Dartmouth College,Alpha Theta",1.8
30:04:2013,10542.0,8382.0,38454.0,29002.0,0.0,3620.0,1.0,0.0,10500.0,10.0,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Dartmouth College,Mass Parking Lot,Blunt Alumni Center Parking Lot,Sudikoff Hall,Alpha Theta,Berry Library,Sudikoff Hall",3.0
30:05:2013,0.0,12000.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Berry Library,Berry Library,Berry Library,Alpha Theta",
